ID,Unnamed: 0,EUPH_STATUS,left-hand context (one sentence),main sentence,right-hand context (one sentence),source,PET,PET lemmatised,literal translation,non-euph equivalent,non-euph equivalent translation,category,A,J,U,W,majority label,LABEL,TEXT
2273,2272,sometimes_euph,„Trakcja elektryczna to postęp i nowoczesność” – transparent z takim sloganem 30 czerwca 1988 roku witał na dworcu w Koszalinie pierwszy pociąg elektryczny z kierunku Białogardu.,"Druga połowa lat 80. była okresem imponujących wręcz osiągnięć w dziedzinie elektryfikacji sieci kolejowej, mimo znacznie gorszej [PET_BOUNDARY]kondycji[PET_BOUNDARY] gospodarki niż w latach 70., w czasie gierkowskiej prosperity finansowanej z kredytów zagranicznych.","Jak wylicza profesor Zbigniew Taylor z Instytutu Geografii i Przestrzennego Zagospodarowania Polskiej Akademii Nauk w monografii Rozwój i regres sieci kolejowej w Polsce, „w dziesięcioleciu 1971–1980 elektryfikowano średnio po 300 km linii rocznie.",KWJP,kondycji,kondycja,condition,pieniądze do dyspozycji,money at one's disposal,money,0,1,1,X,1.0,1.0,"„Trakcja elektryczna to postęp i nowoczesność” – transparent z takim sloganem 30 czerwca 1988 roku witał na dworcu w Koszalinie pierwszy pociąg elektryczny z kierunku Białogardu. Druga połowa lat 80. była okresem imponujących wręcz osiągnięć w dziedzinie elektryfikacji sieci kolejowej, mimo znacznie gorszej [PET_BOUNDARY]kondycji[PET_BOUNDARY] gospodarki niż w latach 70., w czasie gierkowskiej prosperity finansowanej z kredytów zagranicznych. Jak wylicza profesor Zbigniew Taylor z Instytutu Geografii i Przestrzennego Zagospodarowania Polskiej Akademii Nauk w monografii Rozwój i regres sieci kolejowej w Polsce, „w dziesięcioleciu 1971–1980 elektryfikowano średnio po 300 km linii rocznie."
1538,1537,sometimes_euph,"Po identyfikacji trupa Jay przekazał admirałowi, a ten prezydentowi: For God and country I pass Geronimo.","Co znaczyło: „Dla Boga i kraju (sprawiłem, że) Geronimo [PET_BOUNDARY]zszedł[PET_BOUNDARY] z tego świata.",Geronimo – wróg zgładzony w akcji (enemy killed in action)”.,KWJP,zszedł,zejść,to go down,umrzeć,to die,death,X,1,1,1,1.0,1.0,"Po identyfikacji trupa Jay przekazał admirałowi, a ten prezydentowi: For God and country I pass Geronimo. Co znaczyło: „Dla Boga i kraju (sprawiłem, że) Geronimo [PET_BOUNDARY]zszedł[PET_BOUNDARY] z tego świata. Geronimo – wróg zgładzony w akcji (enemy killed in action)”."
1891,1890,sometimes_euph,Po zacumowaniu marynarze położyli trap na keję.,"Pilot [PET_BOUNDARY]zszedł[PET_BOUNDARY] ze statku, pomachał na pożegnanie kapitanowi i odjechał taksówką.",Po chwili przyjechał agent z odprawą graniczną.,KWJP,zszedł,zejść,to go down,-,-,death,X,0,0,0,0.0,0.0,"Po zacumowaniu marynarze położyli trap na keję. Pilot [PET_BOUNDARY]zszedł[PET_BOUNDARY] ze statku, pomachał na pożegnanie kapitanowi i odjechał taksówką. Po chwili przyjechał agent z odprawą graniczną."
2284,2283,sometimes_euph,Nie narzucali się też jakoś specjalnie z okazywaniem mu należnej czci.,"Generał był tym nieco urażony, jednakowoż zyskał tym samym sposobność dokonania przeglądu wojsk [PET_BOUNDARY]in flagranti[PET_BOUNDARY].",Wstępnie zregenerowanym kulturowo żołnierzom wciąż daleko było do dżentelmenów.,KWJP,in flagranti,in flagranti,in flagrante,-,-,sex,0,0,0,X,0.0,0.0,"Nie narzucali się też jakoś specjalnie z okazywaniem mu należnej czci. Generał był tym nieco urażony, jednakowoż zyskał tym samym sposobność dokonania przeglądu wojsk [PET_BOUNDARY]in flagranti[PET_BOUNDARY]. Wstępnie zregenerowanym kulturowo żołnierzom wciąż daleko było do dżentelmenów."
2044,2043,sometimes_euph,"Była zdolna, garnęła się do nauki i uznano, że najlepiej będzie, żeby skończyła szkołę i zrobiła karierę urzędniczą w Warszawie.","Tuż po jej wyjeździe prababcia Waleria przeniosła się na ten lepszy ze światów, gdzie z pewnością nie dręczyły jej już żadne [PET_BOUNDARY]niedomagania[PET_BOUNDARY].",A jakoś na rok przed wybuchem wojny także Stefan z rodziną postanowili szukać szczęścia gdzie indziej i wyjechali do Chełma.,KWJP,niedomagania,niedomagania,defect/fault,choroby,diseases,illness,X,1,1,1,1.0,1.0,"Była zdolna, garnęła się do nauki i uznano, że najlepiej będzie, żeby skończyła szkołę i zrobiła karierę urzędniczą w Warszawie. Tuż po jej wyjeździe prababcia Waleria przeniosła się na ten lepszy ze światów, gdzie z pewnością nie dręczyły jej już żadne [PET_BOUNDARY]niedomagania[PET_BOUNDARY]. A jakoś na rok przed wybuchem wojny także Stefan z rodziną postanowili szukać szczęścia gdzie indziej i wyjechali do Chełma."
2493,2492,sometimes_euph,"Stał na stanowisku, że zarówno mężczyzna, jak i kobieta mają z natury tak duże potrzeby seksualne, że niedługo po zawarciu małżeństwa zaczynają się nawzajem zdradzać.",Zdaniem Bluma receptą na ten problem może być [PET_BOUNDARY]bujne życie[PET_BOUNDARY] przedmałżeńskie.,Wtedy libido zostaje zaspokojone i małżeńska monogamia może stać się realna.,KWJP,bujne życie,bujne życie,vibrant life,życie pełne przygód erotycznych,life full of sexual adventures,sex,1,1,1,X,1.0,1.0,"Stał na stanowisku, że zarówno mężczyzna, jak i kobieta mają z natury tak duże potrzeby seksualne, że niedługo po zawarciu małżeństwa zaczynają się nawzajem zdradzać. Zdaniem Bluma receptą na ten problem może być [PET_BOUNDARY]bujne życie[PET_BOUNDARY] przedmałżeńskie. Wtedy libido zostaje zaspokojone i małżeńska monogamia może stać się realna."
742,741,sometimes_euph,"To już cały przemysł, potężny rynek.","Wykracza daleko poza kolorowe lufki, które do niedawna imponowały w kioskach „odważnie” odbitymi na szkle liśćmi [PET_BOUNDARY]trawki[PET_BOUNDARY].","Sklepy kuszą nowymi technologiami, prześcigają się w coraz bardziej skomplikowanych rozwiązaniach.",KWJP,trawki,trawka,(little) grass,marihuana,marijuana,substances,1,1,1,1,1.0,1.0,"To już cały przemysł, potężny rynek. Wykracza daleko poza kolorowe lufki, które do niedawna imponowały w kioskach „odważnie” odbitymi na szkle liśćmi [PET_BOUNDARY]trawki[PET_BOUNDARY]. Sklepy kuszą nowymi technologiami, prześcigają się w coraz bardziej skomplikowanych rozwiązaniach."
1742,1741,sometimes_euph,"George W. obciął fundusze organizacjom planowania rodziny, wstrzymał dotacje dla międzynarodowych organizacji, które promują swobodę reprodukcyjną kobiet, natomiast ćwierć miliarda dolarów rocznie przeznaczał na propagowanie abstynencji seksualnej wśród uczniów.","Młodzież dowiadywała się, że połowa nieletnich gejów ma AIDS, prezerwatywy nie zapobiegają zarażeniu HIV w jednej trzeciej przypadków, dotykanie [PET_BOUNDARY]miejsc wstydliwych[PET_BOUNDARY] może wywołać ciążę, 43-dniowy płód jest myślącym człowiekiem, zaś aborcja prowadzi do samobójstw i bezpłodności.","Nie dość, że orędownicy wstrzemięźliwości uczyli bzdur, to program był kompletnie nieskuteczny.",KWJP,miejsc wstydliwych,miejsce wstydliwe,disgraceful place,narządy płciowe,sexual organs,body parts,1,X,1,1,1.0,1.0,"George W. obciął fundusze organizacjom planowania rodziny, wstrzymał dotacje dla międzynarodowych organizacji, które promują swobodę reprodukcyjną kobiet, natomiast ćwierć miliarda dolarów rocznie przeznaczał na propagowanie abstynencji seksualnej wśród uczniów. Młodzież dowiadywała się, że połowa nieletnich gejów ma AIDS, prezerwatywy nie zapobiegają zarażeniu HIV w jednej trzeciej przypadków, dotykanie [PET_BOUNDARY]miejsc wstydliwych[PET_BOUNDARY] może wywołać ciążę, 43-dniowy płód jest myślącym człowiekiem, zaś aborcja prowadzi do samobójstw i bezpłodności. Nie dość, że orędownicy wstrzemięźliwości uczyli bzdur, to program był kompletnie nieskuteczny."
2257,2256,sometimes_euph,"Nina była w ciąży, ale co z tego, skoro wciąż złe licho szeptało mu do ucha, że ta kobieta nosi pod sercem nie jego dziecko.","Choć Eryk przekonywał go kiedyś, że nie [PET_BOUNDARY]spał z Niną[PET_BOUNDARY], to Damian nie był wcale tego taki pewien.",I jak miałby znów zaufać tej dziewczynie.,KWJP,spał z Niną,spać z kimś,to sleep with someone,mieć z kimś stosunek płciowy,to have sexual intercourse with someone,sex,1,1,1,X,1.0,1.0,"Nina była w ciąży, ale co z tego, skoro wciąż złe licho szeptało mu do ucha, że ta kobieta nosi pod sercem nie jego dziecko. Choć Eryk przekonywał go kiedyś, że nie [PET_BOUNDARY]spał z Niną[PET_BOUNDARY], to Damian nie był wcale tego taki pewien. I jak miałby znów zaufać tej dziewczynie."
85,84,sometimes_euph,"Czasem naprawdę wszystko się zgadza, nic nie trzeba mówić, bo to widać gołym okiem, więc samotna koleżanka zazdrośnie patrzy i tylko czeka na okazję, by wyrwać tego supermisia z rąk właścicielki.",W [PET_BOUNDARY]pewnym wiek[PET_BOUNDARY]u znalezienie wolnego mężczyzny graniczy z cudem.,"Jeśli jest wspaniały, to czemu jest wolny w wieku czterdziestu lat?",KWJP,pewnym wiek,pewien wiek,certain age,starość,old age,physical appearance,X,0,1,1,1.0,1.0,"Czasem naprawdę wszystko się zgadza, nic nie trzeba mówić, bo to widać gołym okiem, więc samotna koleżanka zazdrośnie patrzy i tylko czeka na okazję, by wyrwać tego supermisia z rąk właścicielki. W [PET_BOUNDARY]pewnym wiek[PET_BOUNDARY]u znalezienie wolnego mężczyzny graniczy z cudem. Jeśli jest wspaniały, to czemu jest wolny w wieku czterdziestu lat?"
1996,1995,sometimes_euph,"Powtarza rozpaczliwą ciszę sióstr, które straciły braci","Szlocha razem z żonami, które już [PET_BOUNDARY]nigdy nie zobaczą[PET_BOUNDARY] mężów.",Razem z dziećmi wielkimi oczami wparuje się w białe pomniki.,KWJP,nigdy nie zobaczą,nigdy nie zobaczyć,never see,umrzeć,to die,death,X,1,1,1,1.0,1.0,"Powtarza rozpaczliwą ciszę sióstr, które straciły braci Szlocha razem z żonami, które już [PET_BOUNDARY]nigdy nie zobaczą[PET_BOUNDARY] mężów. Razem z dziećmi wielkimi oczami wparuje się w białe pomniki."
283,282,sometimes_euph,"Na styku ulic Klukowskiej i Przecławskiej między blaszanymi pawilonami, warsztatami samochodowymi, starymi blokami i nowym osiedlem Wilno rozciąga się malownicza łączka.","Na łączce stoi zielony, odrapany gołębnik, nad którym krążą garłacze, turkoty i [PET_BOUNDARY]mewki[PET_BOUNDARY], a dołem płynie Kanałek Bródnowski zwany przez mieszkańców Sekwaną.",Właśnie w tym miejscu mieszkańcy dzielnicy wraz ze studentami Wydziału Architektury Politechniki Warszawskiej budują Sąsiedzki Klub Wypoczynkowy.,KWJP,mewki,mewka,little gull,-,-,sex,0,0,0,X,0.0,0.0,"Na styku ulic Klukowskiej i Przecławskiej między blaszanymi pawilonami, warsztatami samochodowymi, starymi blokami i nowym osiedlem Wilno rozciąga się malownicza łączka. Na łączce stoi zielony, odrapany gołębnik, nad którym krążą garłacze, turkoty i [PET_BOUNDARY]mewki[PET_BOUNDARY], a dołem płynie Kanałek Bródnowski zwany przez mieszkańców Sekwaną. Właśnie w tym miejscu mieszkańcy dzielnicy wraz ze studentami Wydziału Architektury Politechniki Warszawskiej budują Sąsiedzki Klub Wypoczynkowy."
2207,2206,sometimes_euph,Ile to będzie?,– Daj [PET_BOUNDARY]dychę[PET_BOUNDARY] i będzie gites majonez.,Cena była uczciwa.,KWJP,dychę,dycha,ten (augmentative),dziesięć złotych,ten złoty,money,1,1,1,X,1.0,1.0,Ile to będzie? – Daj [PET_BOUNDARY]dychę[PET_BOUNDARY] i będzie gites majonez. Cena była uczciwa.
88,87,sometimes_euph,"Niestety, nieszczęśni wpadli na pomysł, aby zarobek wzbogacić o ekwiwalent uzyskany ze sprzedaży ukradzionych Rasputinowi warzyw.","W nocy szaber, w dzień praca, wieczorkiem [PET_BOUNDARY]upłynnianie[PET_BOUNDARY] towaru, a potem picie późno w noc.","Wszystko szło dobrze do czasu, gdy Rasputin poczęstował ich samogonem, co zrobił nie tylko efektownie, ale i efektywnie, bo zapili się na śmierć.",KWJP,upłynnianie,upłynniać,to liquidate,sprzedawać skradzione rzeczy,to sell stolen things,offenses,1,1,X,1,1.0,1.0,"Niestety, nieszczęśni wpadli na pomysł, aby zarobek wzbogacić o ekwiwalent uzyskany ze sprzedaży ukradzionych Rasputinowi warzyw. W nocy szaber, w dzień praca, wieczorkiem [PET_BOUNDARY]upłynnianie[PET_BOUNDARY] towaru, a potem picie późno w noc. Wszystko szło dobrze do czasu, gdy Rasputin poczęstował ich samogonem, co zrobił nie tylko efektownie, ale i efektywnie, bo zapili się na śmierć."
118,117,sometimes_euph,"– Spierdalaj, gówniarzu!",Teraz Mateusz [PET_BOUNDARY]rąbnął[PET_BOUNDARY] w drzwi baraku z całej siły.,"Odezwał się blaszany dach, w środku zabrzęczały łyżki spadające z kołków na ścianie, ktoś ohydnie zaklął.",KWJP,rąbnął,rąbnąć,to bang,-,-,offenses,0,0,X,0,0.0,0.0,"– Spierdalaj, gówniarzu! Teraz Mateusz [PET_BOUNDARY]rąbnął[PET_BOUNDARY] w drzwi baraku z całej siły. Odezwał się blaszany dach, w środku zabrzęczały łyżki spadające z kołków na ścianie, ktoś ohydnie zaklął."
993,992,sometimes_euph,Z kolei poseł Michał Kamiński z Unii Europejskich Demokratów podkreśla: - Polacy dali się kupić propagandzie.,"Władza wzbudza [PET_BOUNDARY]strach[PET_BOUNDARY] przed imigrantami, cynicznie gra.","Chce budować fałszywy obraz sytuacji, to temat zastępczy, by nie rozmawiać o realnych problemach.",refugee crisis,strach,strach,fear,rasizm/ ksenofobia,racism/ xenophobia,immigration,0,0,0,1,0.0,0.0,"Z kolei poseł Michał Kamiński z Unii Europejskich Demokratów podkreśla: - Polacy dali się kupić propagandzie. Władza wzbudza [PET_BOUNDARY]strach[PET_BOUNDARY] przed imigrantami, cynicznie gra. Chce budować fałszywy obraz sytuacji, to temat zastępczy, by nie rozmawiać o realnych problemach."
1863,1862,sometimes_euph,"Nagle poczuła, jak jedzenie podchodzi jej do gardła, a na żołądku zaciska się imadło bólu.",Odwróciła się i [PET_BOUNDARY]zwróciła[PET_BOUNDARY] jego skromną zawartość.,Pospiesznie przetarła usta i poczuła kolejny spazm targający jej wnętrznościami.,KWJP,zwróciła,zwrócić,to hand back,zwymiotować,to vomit,physiology,1,1,X,1,1.0,1.0,"Nagle poczuła, jak jedzenie podchodzi jej do gardła, a na żołądku zaciska się imadło bólu. Odwróciła się i [PET_BOUNDARY]zwróciła[PET_BOUNDARY] jego skromną zawartość. Pospiesznie przetarła usta i poczuła kolejny spazm targający jej wnętrznościami."
28,27,sometimes_euph,"Znajdował się tam mąż pewnej pani, która sama pozostała w Rosji.",Z tą panią Jakuszew pozostawał już od dłuższego czasu w [PET_BOUNDARY]zażyłych stosunkach[PET_BOUNDARY] i zamierzał się ożenić.,Chodziło o rozwód.,KWJP,zażyłych stosunkach,zażyłe stosunki,close relations,współżycie płciowe,sexual intercourse,sex,1,0,1,X,1.0,1.0,"Znajdował się tam mąż pewnej pani, która sama pozostała w Rosji. Z tą panią Jakuszew pozostawał już od dłuższego czasu w [PET_BOUNDARY]zażyłych stosunkach[PET_BOUNDARY] i zamierzał się ożenić. Chodziło o rozwód."
736,735,sometimes_euph,"Położył się na niej, niezgrabnie, jakby robił to pierwszy raz w życiu.","Zaczął ją całować po twarzy i szyi, a potem [PET_BOUNDARY]wszedł w nią[PET_BOUNDARY].","Starała się być czuła, lecz on wiedział, że udaje, z trudem maskując znudzenie. „Zupełnie jak Elsa”, pomyślał.",KWJP,wszedł w nią,wejść w nią,enter her,wprowadzić penis do pochwy,insertion of the penis into the vagina,sex,1,1,1,1,1.0,1.0,"Położył się na niej, niezgrabnie, jakby robił to pierwszy raz w życiu. Zaczął ją całować po twarzy i szyi, a potem [PET_BOUNDARY]wszedł w nią[PET_BOUNDARY]. Starała się być czuła, lecz on wiedział, że udaje, z trudem maskując znudzenie. „Zupełnie jak Elsa”, pomyślał."
1493,1492,sometimes_euph,"I komuś mogłoby przyjść do głowy, żeby otwarcie zakwestionować jego przywództwo.","Bliski doradca prezesa mówi, że Kaczyńskiemu jest na rękę to, że ludzie – także w PiS – myślą, iż [PET_BOUNDARY]jest z nim źle[PET_BOUNDARY], bo może patrzeć, kto teraz ujawni swoje polityczne ambicje.","Inny rozmówca przypomina, że prezesowi zdarzało się już w przeszłości testować współpracowników w podobnych sytuacjach.",KWJP,jest z nim źle,jest z kimś (bardzo/naprawdę/aż tak) źle,it's (very/really/so) bad with someone,,,death,X,0,1,1,1.0,1.0,"I komuś mogłoby przyjść do głowy, żeby otwarcie zakwestionować jego przywództwo. Bliski doradca prezesa mówi, że Kaczyńskiemu jest na rękę to, że ludzie – także w PiS – myślą, iż [PET_BOUNDARY]jest z nim źle[PET_BOUNDARY], bo może patrzeć, kto teraz ujawni swoje polityczne ambicje. Inny rozmówca przypomina, że prezesowi zdarzało się już w przeszłości testować współpracowników w podobnych sytuacjach."
1435,1434,sometimes_euph,"Nagle zauważył, że na poboczu ulicy męczy się mała sowa.",12-latek postanowił zaopiekować się [PET_BOUNDARY]ptakiem[PET_BOUNDARY].,To właśnie dzięki dzielnemu mieszkańcowi Krojant miesięczny puszczyk zwyczajny przeżył i wrócił do rodziny.,KWJP,ptakiem,ptak,bird,-,-,body parts,0,X,0,0,0.0,0.0,"Nagle zauważył, że na poboczu ulicy męczy się mała sowa. 12-latek postanowił zaopiekować się [PET_BOUNDARY]ptakiem[PET_BOUNDARY]. To właśnie dzięki dzielnemu mieszkańcowi Krojant miesięczny puszczyk zwyczajny przeżył i wrócił do rodziny."
2246,2245,sometimes_euph,"Zajęta wychowaniem dwójki dzieci, wieczorami dorabiała sobie na tłumaczeniach dla Wydawnictw Naukowo-Technicznych.","Bo praca w IMM była wymagająca, ale nie przynosiła [PET_BOUNDARY]kokosów[PET_BOUNDARY].","W życie weszły wtedy przepisy, które pozwalały matkom wziąć nawet trzy lata urlopu wychowawczego na dziecko; Jowita skorzystała z tej możliwości.",KWJP,kokosów,kokosy,coconuts,duża suma pieniędzy,large amount of money,money,1,1,1,X,1.0,1.0,"Zajęta wychowaniem dwójki dzieci, wieczorami dorabiała sobie na tłumaczeniach dla Wydawnictw Naukowo-Technicznych. Bo praca w IMM była wymagająca, ale nie przynosiła [PET_BOUNDARY]kokosów[PET_BOUNDARY]. W życie weszły wtedy przepisy, które pozwalały matkom wziąć nawet trzy lata urlopu wychowawczego na dziecko; Jowita skorzystała z tej możliwości."
615,614,sometimes_euph,"Mam lęk wysokości, lęk o przyszłość i liczne lęki bez powodu.","Narkomanem nie zostałem tylko ze strachu przed wkłuwaniem się [PET_BOUNDARY]w żyłę[PET_BOUNDARY], ale lekarstwami nie pogardzę.",Zauważyłem u ciebie pudełko po rohypnolu w łazience.,KWJP,w żyłę,w żyłę,into the vein,-,-,substances,0,1,0,0,0.0,0.0,"Mam lęk wysokości, lęk o przyszłość i liczne lęki bez powodu. Narkomanem nie zostałem tylko ze strachu przed wkłuwaniem się [PET_BOUNDARY]w żyłę[PET_BOUNDARY], ale lekarstwami nie pogardzę. Zauważyłem u ciebie pudełko po rohypnolu w łazience."
1661,1660,sometimes_euph,Stary poszedł mi na rękę.,"Jest komfortowo, tylko że ja [PET_BOUNDARY]czuję się nie najlepiej[PET_BOUNDARY].",Od dwóch dni jestem chory.,KWJP,czuję się nie najlepiej,czuć (się) nie najlepiej,feel not great,czuć się chorym/być chorym,feel sick/be sick,illness,X,1,1,1,1.0,1.0,"Stary poszedł mi na rękę. Jest komfortowo, tylko że ja [PET_BOUNDARY]czuję się nie najlepiej[PET_BOUNDARY]. Od dwóch dni jestem chory."
268,267,sometimes_euph,W Warszawie jest kilka takich dróg.,"Natomiast kapliczka tj. mieszkanie, w którym mieszkają pederaści i [PET_BOUNDARY]sprzedają się[PET_BOUNDARY] za pieniądze.","Istnieje w Warszawie na ul. Marszałkowskiej plastikon, gdzie można oglądać zdjęcia pornograficzne i na miejscu są mężczyźni do dyspozycji klienta.",KWJP,sprzedają się,sprzedawać się,to sell oneself,prostytuować się,to prostitute oneself,sex,1,1,1,X,1.0,1.0,"W Warszawie jest kilka takich dróg. Natomiast kapliczka tj. mieszkanie, w którym mieszkają pederaści i [PET_BOUNDARY]sprzedają się[PET_BOUNDARY] za pieniądze. Istnieje w Warszawie na ul. Marszałkowskiej plastikon, gdzie można oglądać zdjęcia pornograficzne i na miejscu są mężczyźni do dyspozycji klienta."
476,475,sometimes_euph,Osamotnieni Sprawiedliwi bardzo często musieli stawić czoła wrogości swoich sąsiadów.,"Abram Weit, ukrywający się w stajni, zauważył, że jego dobroczyńcy, Stanisław i Zofia Pagosowie, zmuszeni są prowadzić – ze względu na sąsiadów – „[PET_BOUNDARY]podwójne życie[PET_BOUNDARY]”.","Nie tylko wszystko wokół ukrywającego się robili w ukryciu, ale jeszcze musieli udawać przed sąsiadami, że „nienawidzą Żydów”.",KWJP,podwójne życie,podwójne życie,double life,-,-,sex,1,0,0,X,0.0,0.0,"Osamotnieni Sprawiedliwi bardzo często musieli stawić czoła wrogości swoich sąsiadów. Abram Weit, ukrywający się w stajni, zauważył, że jego dobroczyńcy, Stanisław i Zofia Pagosowie, zmuszeni są prowadzić – ze względu na sąsiadów – „[PET_BOUNDARY]podwójne życie[PET_BOUNDARY]”. Nie tylko wszystko wokół ukrywającego się robili w ukryciu, ale jeszcze musieli udawać przed sąsiadami, że „nienawidzą Żydów”."
1759,1758,sometimes_euph,Tomasz wstał i zwrócił się do zebranych.,"Myślę, że [PET_BOUNDARY]nie ma wśród nas[PET_BOUNDARY] godniejszego tej funkcji niż Józef Jeżowski!","Jeż jest najstarszy z nas, a do tego ukończył wydział filologiczny.",KWJP,nie ma wśród nas,nie ma wśród nas,is not among us,-,-,death,X,0,0,0,0.0,0.0,"Tomasz wstał i zwrócił się do zebranych. Myślę, że [PET_BOUNDARY]nie ma wśród nas[PET_BOUNDARY] godniejszego tej funkcji niż Józef Jeżowski! Jeż jest najstarszy z nas, a do tego ukończył wydział filologiczny."
1489,1488,sometimes_euph,"A współczesne badania czarno na białym pokazują, że nasza zdolność do empatii i rozumienia drugiego człowieka maleje, gdy jesteśmy pozbawieni ciszy i odosobnienia.","Bezustanna obecność wśród ludzi, permanentna dostępność prowadzi do stopniowej [PET_BOUNDARY]utraty[PET_BOUNDARY] kontaktu z samym sobą i własną tożsamością.",To właśnie od przybytku głowa boli najbardziej.,KWJP,utraty,utrata,loss of,-,-,death,X,0,0,0,0.0,0.0,"A współczesne badania czarno na białym pokazują, że nasza zdolność do empatii i rozumienia drugiego człowieka maleje, gdy jesteśmy pozbawieni ciszy i odosobnienia. Bezustanna obecność wśród ludzi, permanentna dostępność prowadzi do stopniowej [PET_BOUNDARY]utraty[PET_BOUNDARY] kontaktu z samym sobą i własną tożsamością. To właśnie od przybytku głowa boli najbardziej."
1938,1937,sometimes_euph,"Spokojny i szczery mężczyzna o dobrym sercu, bez nałogów, tak zwana „złota rączka”, domator o średniej budowie ciała, zmotoryzowany, ale bardzo samotny. Potrafię kochać i dać szczęście drugiej osobie.","Poznam równie samotną kobietę, bez nałogów, w wieku do 60 lat, o wzroście do 170 cm, o średniej budowie ciała lub lekko [PET_BOUNDARY]puszystą[PET_BOUNDARY].","Mile widziana pani, która pragnie mieć u boku prawdziwego przyjaciela na dalsze dobre i złe chwile wspólnego życia.",KWJP,puszystą,puszysty,fluffy,gruby,fat,physical appearance,X,1,1,1,1.0,1.0,"Spokojny i szczery mężczyzna o dobrym sercu, bez nałogów, tak zwana „złota rączka”, domator o średniej budowie ciała, zmotoryzowany, ale bardzo samotny. Potrafię kochać i dać szczęście drugiej osobie. Poznam równie samotną kobietę, bez nałogów, w wieku do 60 lat, o wzroście do 170 cm, o średniej budowie ciała lub lekko [PET_BOUNDARY]puszystą[PET_BOUNDARY]. Mile widziana pani, która pragnie mieć u boku prawdziwego przyjaciela na dalsze dobre i złe chwile wspólnego życia."
133,132,sometimes_euph,"Na antenie Radia Maryja poseł Robert Strąk z LPR w imieniu plebana domaga się ukrócenia przecieków z gdańskiego śledztwa w sprawie molestowania, bo są one „pożywką wrogich mediów”.","Strąk sam miał sprawę w gdańskiej prokuraturze (podejrzenie o wepchnięcie dłużnika do stawu), był opisywany jako „typ od [PET_BOUNDARY]mokrej roboty[PET_BOUNDARY]” i od tego czasu jest cięty na lewicowo-liberalne środki przekazu.","Jerzy Lipski, pełnomocnik proboszcza, składa w prokuraturze okręgowej zażalenie na odmowę dostępu do akt i też utyskuje na prasę, która szeroko rozpisuje się na temat życia osobistego i działalności księdza prałata, przedstawiając go w złym świetle.",KWJP,mokrej roboty,mokra robota,wet job (dirty job),-,-,death,X,0,1,0,0.0,0.0,"Na antenie Radia Maryja poseł Robert Strąk z LPR w imieniu plebana domaga się ukrócenia przecieków z gdańskiego śledztwa w sprawie molestowania, bo są one „pożywką wrogich mediów”. Strąk sam miał sprawę w gdańskiej prokuraturze (podejrzenie o wepchnięcie dłużnika do stawu), był opisywany jako „typ od [PET_BOUNDARY]mokrej roboty[PET_BOUNDARY]” i od tego czasu jest cięty na lewicowo-liberalne środki przekazu. Jerzy Lipski, pełnomocnik proboszcza, składa w prokuraturze okręgowej zażalenie na odmowę dostępu do akt i też utyskuje na prasę, która szeroko rozpisuje się na temat życia osobistego i działalności księdza prałata, przedstawiając go w złym świetle."
2203,2202,sometimes_euph,"By przyniosły sukces, powinny być zorganizowane w miejscu, w którym jest największy ruch konsumentów, czyli w tzw. złotej strefie.","- Przyjęło się, że towary w promocji eksponuje się w głównych ciągach komunikacyjnych, w okolicach [PET_BOUNDARY]kas[PET_BOUNDARY] czy na regałach znajdujących się przy wejściu do sklepu.",Powinny być ułożone na wysokości wzroku klienta - podpowiada Piotr Haman,KWJP,kas,kasa,checkout / cash register / counter,-,-,money,0,0,0,X,0.0,0.0,"By przyniosły sukces, powinny być zorganizowane w miejscu, w którym jest największy ruch konsumentów, czyli w tzw. złotej strefie. - Przyjęło się, że towary w promocji eksponuje się w głównych ciągach komunikacyjnych, w okolicach [PET_BOUNDARY]kas[PET_BOUNDARY] czy na regałach znajdujących się przy wejściu do sklepu. Powinny być ułożone na wysokości wzroku klienta - podpowiada Piotr Haman"
726,725,sometimes_euph,"Kolejna cyfra, którą postanowiłem skreślić, to cyfra szesnaście.","Kiedy Sonia [PET_BOUNDARY]szczytowała[PET_BOUNDARY], właśnie wybiła godzina szesnasta.","Szkoda tylko, że później musiała tak szybko ze mnie schodzić.",KWJP,szczytowała,szczytować,to peak,osiągnąć orgazm,to orgasm,sex,1,1,1,1,1.0,1.0,"Kolejna cyfra, którą postanowiłem skreślić, to cyfra szesnaście. Kiedy Sonia [PET_BOUNDARY]szczytowała[PET_BOUNDARY], właśnie wybiła godzina szesnasta. Szkoda tylko, że później musiała tak szybko ze mnie schodzić."
